client_id,client_nom,type_client,ville,ca_total_usd,nb_transactions,date_premiere_visite,date_derniere_visite,fidele
B036,Hope Business SARL,Entreprise,Lubumbashi,155295.13,356,2022-08-01,2025-07-22,1
B037,Hekima,Entreprise,Lubumbashi,168218.06,336,2022-08-01,2025-07-30,1
B038,Lomami Saint Paul,Entreprise,Lubumbashi,165863.885,365,2022-08-01,2025-07-28,1
B039,Mexco,Entreprise,Lubumbashi,182341.64,336,2022-08-03,2025-07-30,1
B040,Micropopo,Entreprise,Lubumbashi,153716.56,314,2022-08-01,2025-07-31,1
B041,Paggy,Entreprise,Lubumbashi,166030.125,345,2022-08-03,2025-07-26,1
B042,Safricas,Entreprise,Lubumbashi,163875.01,341,2022-08-01,2025-07-31,1
B043,Serge ET,Entreprise,Lubumbashi,139970.02,297,2022-08-02,2025-07-25,1
B044,Goshop,Entreprise,Lubumbashi,162059.17,325,2022-08-02,2025-07-31,1
B045,GGA,Entreprise,Lubumbashi,151301.58,343,2022-08-01,2025-07-29,1
B046,Ferme Espoir,Entreprise,Lubumbashi,159687.09,307,2022-08-02,2025-07-22,1
B047,Evele & Co,Entreprise,Lubumbashi,171106.8,337,2022-08-02,2025-07-26,1
B048,AEMI,Entreprise,Lubumbashi,167894.655,345,2022-08-01,2025-07-30,1
B049,DAI,Entreprise,Lubumbashi,178551.04,337,2022-08-01,2025-07-28,1
B050,NTES,Entreprise,Lubumbashi,181069.5,353,2022-08-02,2025-07-30,1
B051,Africa Management Plus,Entreprise,Lubumbashi,170541.38,331,2022-08-03,2025-07-31,1
B052,Go Congo,Entreprise,Lubumbashi,134509.78,313,2022-08-01,2025-07-30,1
B053,Afridex,Entreprise,Lubumbashi,156474.515,320,2022-08-02,2025-07-29,1
B054,Chtt,Entreprise,Lubumbashi,164390.11,327,2022-08-01,2025-07-31,1
B055,BIA Banque,Entreprise,Lubumbashi,173107.79,308,2022-08-02,2025-07-29,1
B056,Polytra,Entreprise,Lubumbashi,133304.28,323,2022-08-01,2025-07-31,1
B057,Light Congo Equipement,Entreprise,Lubumbashi,145859.395,323,2022-08-01,2025-07-29,1
B058,Inzhag Trading,Entreprise,Lubumbashi,169601.42,349,2022-08-01,2025-07-29,1
B059,Hugue Kubwa,Entreprise,Lubumbashi,153374.57,335,2022-08-01,2025-07-29,1
B060,Division Provincial Tanganyika,Entreprise,Lubumbashi,181000.155,342,2022-08-01,2025-07-31,1
B061,Hope Mining,Entreprise,Lubumbashi,149000.47,292,2022-08-01,2025-07-31,1
B062,Sicomines,Entreprise,Lubumbashi,161179.87,340,2022-08-02,2025-07-28,1
B063,Tenke Fungurume,Entreprise,Lubumbashi,159623.6,309,2022-08-01,2025-07-31,1
B064,Mutanda Mining,Entreprise,Lubumbashi,160420.145,319,2022-08-01,2025-07-25,1
B065,Glencore Kamoto,Entreprise,Lubumbashi,158527.4,332,2022-08-01,2025-07-31,1
B066,Boss Mining,Entreprise,Lubumbashi,166995.29,366,2022-08-01,2025-07-25,1
B067,Chemaf,Entreprise,Lubumbashi,162998.405,318,2022-08-01,2025-07-31,1
B068,Gécamines,Entreprise,Lubumbashi,119327.795,305,2022-08-01,2025-07-29,1
B069,Comilu,Entreprise,Lubumbashi,166325.02,320,2022-08-01,2025-07-31,1
B070,Air Congo Express,Entreprise,Lubumbashi,147427.2,325,2022-08-05,2025-07-31,1
C00001,Client_PC_00001,Personne courante,Lubumbashi,3187.6,18,2022-08-18,2025-05-05,1
C00002,Anonyme,Personne courante,Lubumbashi,154.0,1,2023-11-06,2023-11-06,0
C00002,Client_PC_00002,Personne courante,Lubumbashi,1023.26,13,2022-08-12,2025-07-30,1
C00003,Anonyme,Personne courante,Lubumbashi,5.6,1,2023-05-01,2023-05-01,0
C00003,Client_PC_00003,Personne courante,Lubumbashi,359.99,9,2022-08-02,2024-12-12,1
C00004,Client_PC_00004,Personne courante,Lubumbashi,873.01,22,2022-08-31,2025-06-10,1
C00005,Anonyme,Personne courante,Lubumbashi,35.1,2,2023-04-25,2023-06-23,0
C00005,Client_PC_00005,Personne courante,Lubumbashi,2445.57,13,2022-09-10,2024-09-20,1
C00006,Client_PC_00006,Personne courante,Lubumbashi,526.35,9,2022-11-19,2025-01-08,1
C00007,Anonyme,Personne courante,Lubumbashi,18.92,1,2025-01-24,2025-01-24,0
C00007,Client_PC_00007,Personne courante,Lubumbashi,2100.9,19,2022-08-02,2025-07-12,1
C00008,Client_PC_00008,Personne courante,Lubumbashi,2694.0,18,2022-08-10,2025-05-04,1
C00009,Client_PC_00009,Personne courante,Lubumbashi,1050.69,13,2022-10-10,2025-02-22,1
C00010,Client_PC_00010,Personne courante,Lubumbashi,806.94,13,2023-05-12,2025-06-25,1
C00011,Anonyme,Personne courante,Kolwezi,4.65,2,2023-05-18,2024-02-10,0
C00011,Client_PC_00011,Personne courante,Lubumbashi,1997.11,17,2022-09-26,2025-07-11,1
C00012,Client_PC_00012,Personne courante,Lubumbashi,934.6,9,2023-01-20,2024-11-24,1
C00013,Client_PC_00013,Personne courante,Lubumbashi,229.3,11,2023-01-07,2025-05-21,1
C00014,Anonyme,Personne courante,Lubumbashi,308.0,1,2023-09-29,2023-09-29,0
C00014,Client_PC_00014,Personne courante,Lubumbashi,1128.89,17,2022-11-18,2025-03-22,1
C00015,Anonyme,Personne courante,Lubumbashi,15.3,2,2023-08-15,2024-09-28,0
C00015,Client_PC_00015,Personne courante,Kolwezi,130.95,8,2022-11-19,2025-03-18,1
C00016,Client_PC_00016,Personne courante,Lubumbashi,2514.8,23,2022-08-09,2025-07-09,1
C00017,Client_PC_00017,Personne courante,Lubumbashi,2449.2799999999997,17,2022-08-08,2025-07-28,1
C00018,Anonyme,Personne courante,Lubumbashi,57.0,1,2025-04-23,2025-04-23,0
C00018,Client_PC_00018,Personne courante,Lubumbashi,1181.16,13,2022-09-02,2025-07-16,1
C00019,Anonyme,Personne courante,Lubumbashi,12.0,1,2023-10-20,2023-10-20,0
C00019,Client_PC_00019,Personne courante,Lubumbashi,1969.45,13,2022-10-17,2025-03-28,1
C00020,Client_PC_00020,Personne courante,Lubumbashi,658.5,11,2022-11-01,2025-01-29,1
C00021,Client_PC_00021,Personne courante,Lubumbashi,1746.23,17,2022-09-07,2025-05-26,1
C00022,Anonyme,Personne courante,Likasi,3.0,1,2022-11-04,2022-11-04,0
C00022,Client_PC_00022,Personne courante,Lubumbashi,2005.57,25,2022-08-19,2025-06-26,1
C00023,Anonyme,Personne courante,Lubumbashi,42.0,1,2024-08-20,2024-08-20,0
C00023,Client_PC_00023,Personne courante,Lubumbashi,1039.6,14,2022-08-20,2025-03-08,1
C00024,Anonyme,Personne courante,Likasi,21.0,1,2025-01-21,2025-01-21,0
C00024,Client_PC_00024,Personne courante,Lubumbashi,1988.04,15,2022-08-10,2025-07-27,1
C00025,Anonyme,Personne courante,Lubumbashi,54.0,1,2023-10-10,2023-10-10,0
C00025,Client_PC_00025,Personne courante,Lubumbashi,365.445,11,2023-02-17,2025-07-30,1
C00026,Anonyme,Personne courante,Lubumbashi,364.0,1,2022-08-20,2022-08-20,0
C00026,Client_PC_00026,Personne courante,Lubumbashi,284.76,6,2022-09-15,2024-12-25,1
C00027,Client_PC_00027,Personne courante,Lubumbashi,705.7,14,2023-06-28,2025-06-26,1
C00028,Client_PC_00028,Personne courante,Lubumbashi,2046.3300000000002,14,2022-08-03,2024-07-09,1
C00029,Client_PC_00029,Personne courante,Lubumbashi,1298.6399999999999,18,2022-08-10,2025-07-30,1
C00030,Client_PC_00030,Personne courante,Lubumbashi,2728.43,15,2022-09-03,2025-04-10,1
C00031,Anonyme,Personne courante,Lubumbashi,8.4,1,2025-02-18,2025-02-18,0
C00031,Client_PC_00031,Personne courante,Lubumbashi,1075.65,10,2022-10-02,2025-06-21,1
C00032,Anonyme,Personne courante,Lubumbashi,336.2,3,2022-09-02,2024-09-30,1
C00032,Client_PC_00032,Personne courante,Lubumbashi,1028.26,12,2022-08-22,2024-08-21,1
C00033,Anonyme,Personne courante,Lubumbashi,36.0,1,2024-01-09,2024-01-09,0
C00033,Client_PC_00033,Personne courante,Lubumbashi,1169.9,15,2022-08-08,2025-07-09,1
C00034,Anonyme,Personne courante,Lubumbashi,36.4,1,2023-03-02,2023-03-02,0
C00034,Client_PC_00034,Personne courante,Lubumbashi,2401.05,13,2023-04-06,2025-02-25,1
C00035,Anonyme,Personne courante,Kolwezi,109.25,1,2024-12-30,2024-12-30,0
C00035,Client_PC_00035,Personne courante,Lubumbashi,1055.58,14,2022-09-15,2025-04-21,1
C00036,Anonyme,Personne courante,Lubumbashi,144.0,1,2024-07-22,2024-07-22,0
C00036,Client_PC_00036,Personne courante,Lubumbashi,2159.675,15,2022-10-12,2025-01-03,1
C00037,Anonyme,Personne courante,Lubumbashi,9.46,1,2022-11-28,2022-11-28,0
C00037,Client_PC_00037,Personne courante,Lubumbashi,1421.815,19,2022-08-15,2025-07-04,1
C00038,Client_PC_00038,Personne courante,Lubumbashi,1840.0,10,2022-08-10,2024-12-31,1
C00039,Client_PC_00039,Personne courante,Lubumbashi,545.03,14,2022-11-08,2025-03-05,1
C00040,Client_PC_00040,Personne courante,Lubumbashi,1706.55,16,2022-11-01,2024-12-19,1
C00041,Anonyme,Personne courante,Kolwezi,21.0,1,2023-08-18,2023-08-18,0
C00041,Client_PC_00041,Personne courante,Lubumbashi,606.65,14,2022-08-08,2025-06-02,1
C00042,Client_PC_00042,Personne courante,Lubumbashi,1359.2,16,2022-09-10,2024-11-19,1
C00043,Client_PC_00043,Personne courante,Lubumbashi,1115.9099999999999,10,2022-08-22,2025-06-11,1
C00044,Anonyme,Personne courante,Lubumbashi,21.28,1,2024-10-01,2024-10-01,0
C00044,Client_PC_00044,Personne courante,Lubumbashi,951.395,15,2022-08-06,2024-10-24,1
C00045,Client_PC_00045,Personne courante,Lubumbashi,2165.2799999999997,17,2022-08-21,2025-06-25,1
C00046,Client_PC_00046,Personne courante,Kolwezi,1098.05,13,2022-09-12,2025-05-23,1
C00047,Client_PC_00047,Personne courante,Lubumbashi,726.78,8,2023-06-16,2025-07-29,1
C00048,Anonyme,Personne courante,Lubumbashi,42.0,1,2024-08-05,2024-08-05,0
C00048,Client_PC_00048,Personne courante,Lubumbashi,1937.75,19,2022-09-17,2025-06-17,1
C00049,Anonyme,Personne courante,Lubumbashi,504.0,1,2024-11-16,2024-11-16,0
C00049,Client_PC_00049,Personne courante,Lubumbashi,723.75,10,2022-10-22,2025-04-29,1
C00050,Client_PC_00050,Personne courante,Lubumbashi,1675.29,17,2022-08-04,2025-07-15,1
C00051,Client_PC_00051,Personne courante,Lubumbashi,1000.11,15,2022-08-16,2025-03-13,1
C00052,Anonyme,Personne courante,Lubumbashi,7.0,1,2024-01-12,2024-01-12,0
C00052,Client_PC_00052,Personne courante,Lubumbashi,1463.22,12,2022-08-11,2025-06-02,1
C00053,Client_PC_00053,Personne courante,Lubumbashi,1204.1399999999999,17,2022-10-17,2025-06-26,1
C00054,Client_PC_00054,Personne courante,Lubumbashi,2872.4,11,2022-10-25,2025-07-18,1
C00055,Anonyme,Personne courante,Lubumbashi,9.0,1,2024-12-15,2024-12-15,0
C00055,Client_PC_00055,Personne courante,Lubumbashi,1076.95,10,2023-07-17,2025-07-05,1
C00056,Anonyme,Personne courante,Lubumbashi,2.1,1,2024-05-29,2024-05-29,0
C00056,Client_PC_00056,Personne courante,Lubumbashi,384.73,9,2023-04-30,2024-10-22,1
C00057,Anonyme,Personne courante,Lubumbashi,40.3,1,2025-04-01,2025-04-01,0
C00057,Client_PC_00057,Personne courante,Lubumbashi,1901.9499999999998,15,2022-08-30,2025-06-19,1
C00058,Client_PC_00058,Personne courante,Lubumbashi,1787.98,17,2022-08-28,2025-06-28,1
C00059,Anonyme,Personne courante,Lubumbashi,27.0,1,2023-11-06,2023-11-06,0
C00059,Client_PC_00059,Personne courante,Lubumbashi,2243.77,20,2022-08-03,2025-07-30,1
C00060,Client_PC_00060,Personne courante,Lubumbashi,883.84,11,2022-10-31,2025-07-31,1
C00061,Anonyme,Personne courante,Lubumbashi,287.75,4,2022-12-23,2024-11-06,1
C00061,Client_PC_00061,Personne courante,Lubumbashi,564.0500000000001,12,2022-10-21,2025-05-19,1
C00062,Client_PC_00062,Personne courante,Lubumbashi,1394.7,12,2022-09-14,2025-02-12,1
C00063,Client_PC_00063,Personne courante,Lubumbashi,1080.0,14,2022-09-21,2025-06-23,1
C00064,Anonyme,Personne courante,Lubumbashi,147.91,4,2022-11-23,2025-06-27,1
C00064,Client_PC_00064,Personne courante,Lubumbashi,955.8100000000001,11,2022-09-07,2024-10-10,1
C00065,Anonyme,Personne courante,Lubumbashi,311.7,3,2022-11-25,2024-05-29,1
C00065,Client_PC_00065,Personne courante,Lubumbashi,1429.27,20,2022-08-06,2025-01-11,1
C00066,Client_PC_00066,Personne courante,Lubumbashi,1302.8000000000002,9,2023-05-29,2024-09-27,1
C00067,Client_PC_00067,Personne courante,Lubumbashi,302.88,7,2022-12-31,2025-05-11,1
C00068,Client_PC_00068,Personne courante,Lubumbashi,1977.21,23,2022-10-19,2025-06-26,1
C00069,Client_PC_00069,Personne courante,Lubumbashi,1116.96,13,2022-09-28,2025-05-21,1
C00070,Anonyme,Personne courante,Lubumbashi,70.0,1,2022-08-05,2022-08-05,0
C00070,Client_PC_00070,Personne courante,Lubumbashi,1080.28,10,2022-10-08,2025-04-17,1
C00071,Client_PC_00071,Personne courante,Lubumbashi,579.25,10,2022-08-05,2025-05-22,1
C00072,Client_PC_00072,Personne courante,Lubumbashi,1571.65,11,2022-08-10,2025-07-02,1
C00073,Client_PC_00073,Personne courante,Lubumbashi,532.8,6,2022-10-06,2025-04-16,1
C00074,Anonyme,Personne courante,Lubumbashi,74.1,1,2022-08-02,2022-08-02,0
C00074,Client_PC_00074,Personne courante,Lubumbashi,2330.98,19,2022-08-01,2025-06-17,1
C00075,Anonyme,Personne courante,Lubumbashi,10.5,1,2023-05-20,2023-05-20,0
C00075,Client_PC_00075,Personne courante,Lubumbashi,948.87,14,2022-10-15,2025-07-04,1
C00076,Client_PC_00076,Personne courante,Lubumbashi,1965.7,16,2022-10-12,2024-09-07,1
C00077,Anonyme,Personne courante,Kolwezi,0.75,1,2023-11-16,2023-11-16,0
C00077,Client_PC_00077,Personne courante,Lubumbashi,2803.25,16,2022-08-24,2025-06-20,1
C00078,Anonyme,Personne courante,Kolwezi,34.62,2,2025-01-22,2025-02-18,0
C00078,Client_PC_00078,Personne courante,Lubumbashi,1037.03,12,2023-01-11,2025-05-26,1
C00079,Client_PC_00079,Personne courante,Lubumbashi,2637.85,13,2022-08-15,2024-11-29,1
C00080,Anonyme,Personne courante,Lubumbashi,144.0,1,2023-09-18,2023-09-18,0
C00080,Client_PC_00080,Personne courante,Lubumbashi,561.56,9,2023-03-13,2025-05-16,1
C00081,Client_PC_00081,Personne courante,Lubumbashi,1674.585,12,2022-10-24,2024-12-18,1
C00082,Client_PC_00082,Personne courante,Lubumbashi,1415.31,14,2022-08-25,2025-05-10,1
C00083,Anonyme,Personne courante,Lubumbashi,4.2,1,2022-09-19,2022-09-19,0
C00083,Client_PC_00083,Personne courante,Lubumbashi,961.66,11,2023-08-04,2025-06-06,1
C00084,Anonyme,Personne courante,Lubumbashi,189.75,1,2023-02-01,2023-02-01,0
C00084,Client_PC_00084,Personne courante,Lubumbashi,1149.68,12,2022-12-15,2025-07-07,1
C00085,Anonyme,Personne courante,Lubumbashi,75.6,1,2024-07-25,2024-07-25,0
C00085,Client_PC_00085,Personne courante,Lubumbashi,1920.85,15,2022-08-27,2024-10-07,1
C00086,Client_PC_00086,Personne courante,Lubumbashi,1395.68,14,2022-08-04,2025-05-10,1
C00087,Anonyme,Personne courante,Lubumbashi,6.3,1,2024-06-08,2024-06-08,0
C00087,Client_PC_00087,Personne courante,Lubumbashi,1656.56,11,2022-09-16,2025-03-12,1
C00088,Client_PC_00088,Personne courante,Lubumbashi,1596.0,13,2022-08-14,2025-04-15,1
C00089,Anonyme,Personne courante,Lubumbashi,5.32,1,2025-01-02,2025-01-02,0
C00089,Client_PC_00089,Personne courante,Lubumbashi,353.725,9,2023-03-30,2025-01-18,1
C00090,Client_PC_00090,Personne courante,Lubumbashi,593.65,11,2022-08-03,2025-06-03,1
C00091,Client_PC_00091,Personne courante,Lubumbashi,932.25,15,2022-08-19,2025-07-30,1
C00092,Client_PC_00092,Personne courante,Lubumbashi,336.51,10,2022-08-26,2024-05-28,1
C00093,Anonyme,Personne courante,Kolwezi,14.1,2,2024-02-19,2025-07-02,0
C00093,Client_PC_00093,Personne courante,Lubumbashi,951.05,7,2022-08-04,2025-06-17,1
C00094,Client_PC_00094,Personne courante,Lubumbashi,1049.4,15,2022-08-12,2025-06-28,1
C00095,Client_PC_00095,Personne courante,Lubumbashi,1104.9,16,2022-10-03,2025-04-30,1
C00096,Anonyme,Personne courante,Lubumbashi,364.0,1,2022-08-27,2022-08-27,0
C00096,Client_PC_00096,Personne courante,Lubumbashi,652.4200000000001,8,2022-12-10,2025-07-21,1
C00097,Anonyme,Personne courante,Kolwezi,47.6,1,2023-07-07,2023-07-07,0
C00097,Client_PC_00097,Personne courante,Lubumbashi,548.65,10,2022-12-27,2024-12-10,1
C00098,Client_PC_00098,Personne courante,Lubumbashi,625.68,11,2022-08-08,2025-07-19,1
C00099,Anonyme,Personne courante,Lubumbashi,15.0,1,2024-08-13,2024-08-13,0
C00099,Client_PC_00099,Personne courante,Lubumbashi,2667.7400000000002,17,2022-08-19,2025-04-07,1
C00100,Client_PC_00100,Personne courante,Lubumbashi,955.45,16,2022-08-16,2025-01-17,1
C00101,Anonyme,Personne courante,Kolwezi,148.5,2,2024-01-11,2024-09-13,0
C00101,Client_PC_00101,Personne courante,Lubumbashi,1107.58,18,2022-10-13,2025-07-06,1
C00102,Client_PC_00102,Personne courante,Lubumbashi,2127.9,19,2022-08-31,2025-07-31,1
C00103,Client_PC_00103,Personne courante,Lubumbashi,663.13,9,2022-08-10,2025-07-23,1
C00104,Anonyme,Personne courante,Lubumbashi,16.2,1,2024-11-22,2024-11-22,0
C00104,Client_PC_00104,Personne courante,Lubumbashi,821.19,13,2022-08-24,2025-05-13,1
C00105,Anonyme,Personne courante,Kolwezi,33.0,1,2024-08-19,2024-08-19,0
C00105,Client_PC_00105,Personne courante,Lubumbashi,808.28,11,2023-04-22,2025-07-22,1
C00106,Client_PC_00106,Personne courante,Lubumbashi,685.59,13,2022-08-19,2024-12-03,1
C00107,Anonyme,Personne courante,Lubumbashi,476.0,1,2022-08-07,2022-08-07,0
C00107,Client_PC_00107,Personne courante,Lubumbashi,1849.03,16,2022-08-11,2025-07-04,1
C00108,Anonyme,Personne courante,Lubumbashi,189.75,1,2023-10-19,2023-10-19,0
C00108,Client_PC_00108,Personne courante,Lubumbashi,1221.66,16,2022-08-10,2025-04-18,1
C00109,Anonyme,Personne courante,Lubumbashi,4.73,1,2022-09-21,2022-09-21,0
C00109,Client_PC_00109,Personne courante,Lubumbashi,279.1,8,2023-07-04,2025-05-16,1
C00110,Anonyme,Personne courante,Lubumbashi,44.2,2,2022-10-23,2025-06-13,0
C00110,Client_PC_00110,Personne courante,Lubumbashi,808.2,9,2023-05-27,2025-01-31,1
C00111,Client_PC_00111,Personne courante,Lubumbashi,2503.65,17,2022-08-02,2025-06-22,1
C00112,Client_PC_00112,Personne courante,Lubumbashi,1696.94,18,2022-08-16,2025-07-31,1
C00113,Client_PC_00113,Personne courante,Lubumbashi,2187.01,16,2022-08-06,2025-06-13,1
C00114,Client_PC_00114,Personne courante,Lubumbashi,848.8000000000001,10,2022-08-18,2024-08-06,1
C00115,Client_PC_00115,Personne courante,Lubumbashi,781.45,9,2022-08-09,2025-07-29,1
C00116,Anonyme,Personne courante,Kolwezi,48.6,1,2022-12-31,2022-12-31,0
C00116,Client_PC_00116,Personne courante,Lubumbashi,1243.17,13,2022-08-12,2025-06-13,1
C00117,Anonyme,Personne courante,Kolwezi,1.2,1,2024-06-27,2024-06-27,0
C00117,Client_PC_00117,Personne courante,Lubumbashi,1359.06,17,2022-08-23,2025-06-15,1
C00118,Anonyme,Personne courante,Likasi,4.2,1,2023-01-17,2023-01-17,0
C00118,Client_PC_00118,Personne courante,Lubumbashi,1088.5,13,2023-06-24,2025-07-26,1
C00119,Anonyme,Personne courante,Kolwezi,43.2,1,2025-02-23,2025-02-23,0
C00119,Client_PC_00119,Personne courante,Lubumbashi,1688.6999999999998,16,2022-08-01,2025-01-08,1
C00120,Client_PC_00120,Personne courante,Lubumbashi,1615.35,16,2023-01-13,2025-03-22,1
C00121,Anonyme,Personne courante,Kolwezi,19.740000000000002,2,2022-08-17,2022-09-20,0
C00121,Client_PC_00121,Personne courante,Lubumbashi,1254.22,14,2022-09-12,2025-07-14,1
C00122,Anonyme,Personne courante,Lubumbashi,79.73,4,2022-11-30,2024-05-29,1
C00122,Client_PC_00122,Personne courante,Lubumbashi,844.69,16,2022-09-08,2025-07-27,1
C00123,Client_PC_00123,Personne courante,Lubumbashi,921.87,17,2022-08-18,2025-01-02,1
C00124,Anonyme,Personne courante,Lubumbashi,200.95,2,2023-06-27,2023-08-30,0
C00124,Client_PC_00124,Personne courante,Lubumbashi,959.92,15,2022-08-06,2025-05-31,1
C00125,Client_PC_00125,Personne courante,Lubumbashi,1981.6399999999999,20,2022-08-14,2025-06-20,1
C00126,Client_PC_00126,Personne courante,Lubumbashi,1474.66,16,2022-08-16,2025-02-04,1
C00127,Client_PC_00127,Personne courante,Lubumbashi,1009.98,14,2022-09-01,2025-04-01,1
C00128,Anonyme,Personne courante,Lubumbashi,40.3,1,2024-09-16,2024-09-16,0
C00128,Client_PC_00128,Personne courante,Lubumbashi,1608.02,10,2022-09-08,2025-05-27,1
C00129,Client_PC_00129,Personne courante,Lubumbashi,1567.8,12,2022-10-11,2025-07-11,1
C00130,Anonyme,Personne courante,Lubumbashi,25.2,1,2023-03-03,2023-03-03,0
C00130,Client_PC_00130,Personne courante,Lubumbashi,213.4,5,2022-08-26,2024-09-26,1
C00131,Client_PC_00131,Personne courante,Lubumbashi,94.95,6,2022-08-05,2024-07-16,1
C00132,Anonyme,Personne courante,Likasi,84.0,1,2024-08-31,2024-08-31,0
C00132,Client_PC_00132,Personne courante,Lubumbashi,1392.0,23,2022-08-22,2025-02-25,1
C00133,Client_PC_00133,Personne courante,Lubumbashi,1302.26,19,2022-08-01,2025-07-11,1
C00134,Anonyme,Personne courante,Kolwezi,14.19,1,2025-05-19,2025-05-19,0
C00134,Client_PC_00134,Personne courante,Lubumbashi,486.34000000000003,17,2022-09-04,2025-07-28,1
C00135,Client_PC_00135,Personne courante,Lubumbashi,575.15,17,2022-09-16,2025-05-17,1
C00136,Anonyme,Personne courante,Kolwezi,163.5,2,2022-09-13,2025-04-16,0
C00136,Client_PC_00136,Personne courante,Lubumbashi,3212.05,17,2022-08-02,2025-05-27,1
C00137,Anonyme,Personne courante,Lubumbashi,4.2,1,2023-12-27,2023-12-27,0
C00137,Client_PC_00137,Personne courante,Lubumbashi,1398.45,16,2022-09-14,2025-07-20,1
C00138,Client_PC_00138,Personne courante,Lubumbashi,994.16,10,2022-09-15,2025-06-23,1
C00139,Anonyme,Personne courante,Lubumbashi,274.3,2,2022-09-03,2023-01-04,0
C00139,Client_PC_00139,Personne courante,Lubumbashi,1220.95,10,2022-08-01,2025-05-30,1
C00140,Client_PC_00140,Personne courante,Lubumbashi,1546.02,20,2022-08-26,2025-05-31,1
C00141,Anonyme,Personne courante,Kolwezi,33.0,1,2023-12-14,2023-12-14,0
C00141,Client_PC_00141,Personne courante,Lubumbashi,1347.56,13,2022-09-09,2024-09-27,1
C00142,Client_PC_00142,Personne courante,Lubumbashi,752.05,13,2022-08-03,2025-03-19,1
C00143,Client_PC_00143,Personne courante,Lubumbashi,2569.27,18,2022-08-18,2024-12-15,1
C00144,Client_PC_00144,Personne courante,Lubumbashi,1360.05,13,2022-08-12,2025-06-27,1
C00145,Client_PC_00145,Personne courante,Lubumbashi,624.0,9,2022-11-16,2024-11-17,1
C00146,Client_PC_00146,Personne courante,Lubumbashi,1428.2,14,2022-08-30,2025-06-27,1
C00147,Client_PC_00147,Personne courante,Lubumbashi,1380.8999999999999,16,2022-08-23,2025-05-22,1
C00148,Anonyme,Personne courante,Lubumbashi,82.5,1,2024-01-20,2024-01-20,0
